{
    {72, 55, 187, 126, 141, 32, 74, 47, 226, 40}
    {35, 68, 32, 58, 34, 64, 293, 51, 135, 230}
    {174, 1, 23, 204, 169, 201, 113, 78, 35, 2}
    {84, 20, 44, 14, 134, 354, 160, 101, 68, 21}
    {174, 32, 170, 79, 23, 124, 134, 218, 37, 9}
    {53, 71, 174, 316, 50, 27, 106, 139, 43, 21}
    {97, 192, 102, 112, 183, 32, 16, 44, 179, 43}
    {194, 56, 80, 130, 200, 239, 13, 36, 19, 33}
    {425, 199, 39, 76, 46, 19, 113, 1, 44, 38}
    {104, 345, 42, 85, 51, 58, 202, 35, 50, 28}
}
